Attribute, Count
ACC_TIME, 8
ADDDESC, 32
ALLOW_BIN, 8648
ancillary_data, 23
ARR_DIM, 373
ARR_INDEX, 373
AVG_PTR_1, 21
AVG_TYPE, 16543
axis, 3
Bin_Location, 296
Bin_location, 118
BIN_LOCATION, 50
BIN_OFFSET, 16
BlockingFactor, 44030
bounds, 3
CADENCE, 156
calendar, 49
Calib_input, 9568
CALIB_INPUT, 280
CALIB_PARS, 60
Calib_software, 9568
CALIB_SOFTWARE, 280
CATDESC, 108143
CHAN_NAME, 179
comment, 4
COMPARE_OPERATOR, 176
COMPARE_VAL, 246
COMPONENT_0, 15112
COMPONENT_1, 3051
COMPONENT_10, 17
COMPONENT_11, 17
COMPONENT_12, 17
COMPONENT_13, 17
COMPONENT_14, 6
COMPONENT_2, 155
COMPONENT_3, 57
COMPONENT_4, 24
COMPONENT_5, 24
COMPONENT_6, 17
COMPONENT_7, 17
COMPONENT_8, 17
COMPONENT_9, 17
COMPRESS, 2
Compression, 41485
CONTENT, 4
COORDINATE_SYSTEM, 6193
coordinates, 4
DataType, 109297
Datatype, 157
DB, 154
DELTA_MINUS, 682
DELTA_MINUS_VAR, 4333
DELTA_MINUS_VARx, 448
DELTA_PLUS, 538
DELTA_PLUS_VAR, 4754
DELTA_PLUS_VARx, 448
DEPEND_0, 78244
DEPEND_1, 34041
DEPEND_2, 16563
DEPEND_3, 1655
DEPEND_4, 148
DEPEND_5, 148
DEPEND_6, 148
DEPEND_EPOCH0, 5447
DEPEND_TIME, 5743
desc, 1344
DESCRIP, 96
Description, 496
description, 171
DETECTOR, 36
DICT_KEY, 26635
DIMENSIONS_V, 529
DimSizes, 63662
DimVariances, 63662
DISPLAY_TYPE, 73311
Display_Type, 1344
DISPLAYTYPE, 55
ECTSOC_PRBEM, 84
ENABLE_FAST, 64
ENABLE_SLOW, 64
ENTITY, 440
ERROR_MINUS, 59
ERROR_PLUS, 59
FAST_DAC, 64
FAST_SHAPER, 64
FIELDNAM, 108165
fill, 67
FILLVAL, 94411
flag_masks, 36
flag_meanings, 46
flag_values, 46
FLUCTUATIONS, 99
FLUX_PTR, 50
FORM_PTR, 283
FORMAT, 103823
Frame, 9668
FRAME, 27
FRAME_ORIGIN, 1
FRAME_VELOCITY, 200
FULL_CATDESC, 100
FUNCT, 8259
FUNCTION, 6847
INPUT_GAIN, 64
INSPECT_MASK, 32
INTEGRATION_TIME, 64
INTERNAL_VARIABLE, 8
LABEL_1, 138
LABEL_3, 12
LABEL_4, 12
LABL_PTR_1, 18481
LABl_PTR_1, 18
LABL_PTR_2, 2715
LABL_PTR_3, 828
LABLAXIS, 88558
Level, 28
lin_log, 171
LOGIC, 32
LOGICAL_CHANNEL, 64
long_label, 171
long_name, 6
Long_Name, 92
MaxWrittenRec, 438
MD5, 7
missing_value, 171
MNEMONIC, 1556
MONOTON, 5870
MonoTon, 40
NC_ADDED, 413
NC_CHUNKSIZES, 2678
NC_DEFLATE, 2689
NC_DIMENSIONS_V, 2704
NC_SHUFFLE, 2689
NC_STORAGE, 2689
NC_STRING, 51
NC_STRINGS_V, 628
nominal_max, 171
nominal_min, 171
NOTES, 48
NumDims, 109297
NumElements, 109297
NumWrittenRecords, 25115
OFFSET_0, 28
ORIGINAL_SIZE, 16
PadValue, 103102
PARAMETER_TYPE, 44
plot_label, 171
PRIORITY, 32
PROPERTY, 4107
QUALITY, 395
QUALITY_VAR, 202
READOUT_MASK, 32
RecVariance, 109297
REFERENCE_POSITION, 619
REPRES_PTR_1, 44
REPRESENTATION_1, 3658
REPRESENTATION_2, 286
REPRESENTATION_3, 76
REPRESENTATION_4, 12
REQUIRE_MASK, 32
RESOLUTION, 264
Resolution, 28
SC_id, 9538
SC_ID, 3747
SCAL_PTR, 20
SCALE_TYP, 394
SCALEMAX, 28027
SCALEMIN, 28031
SCALETYP, 73202
ScaleTyp, 110
SCALETYPE, 184
SCALEYP, 185
SFORMAT, 4
short_label, 171
SI_conv, 8246
SI_conversion, 11703
SI_CONVERSION, 13903
Sig_digits, 9593
sig_digits, 1651
SIGNIFICANT_DIGITS, 28
SLOW_DAC, 64
SLOW_SHAPER, 64
SparseRecords, 438
SPDF_NOTE, 66
SPDF_VAR_NOTES, 9
SPECIES, 58
standard_name, 3
STATION_DECLINATION, 80
STATION_ELEVATION, 353
STATION_LATITUDE, 464
station_latitude, 292
STATION_LONGITUDE, 464
station_longitude, 292
TARGET_SYSTEM, 1
TENSOR_FRAME, 20
TENSOR_ORDER, 4392
TIME_BASE, 3164
Time_Base, 149
TIME_RES, 134
TIME_SCALE, 875
Time_Scale, 423
title2, 69
TO_COORDINATE_SYSTEM, 280
TOO, 32
TYPE, 4
TYPICAL_MAX, 2
TYPICAL_MIN, 2
TYPICALMAX, 18
TYPICALMIN, 18
UCD, 40
UNIT_PTR, 832
UNITS, 91551
units, 12
V_PARENT, 6
VALID_MAX, 2
VALID_MIN, 2
valid_range, 759
Valid_Range, 285
VALIDMAX, 95445
VALIDMIN, 95443
VALIMIN, 1
VAR_NOTE, 68
VAR_NOTES, 39479
VAR_TYPE, 109257
VARIABLE_PURPOSE, 100
VIRTUAL, 15082
